slug,title,closed,winner,endDate,volume,upMin,upMax,upLast,upTouched,upTouchTime,upTouchWon,upPoints,downMin,downMax,downLast,downTouched,downTouchTime,downTouchWon,downPoints,url,error
bitcoin-up-or-down-june-22-2026-6pm-et,"Bitcoin Up or Down - June 22, 6PM ET",False,,2026-06-22T23:00:00Z,38796.26794500002,0.0005,0.545,0.0005,True,2026-06-22T22:30:05+00:00,False,296,0.455,0.9995,0.9995,False,,False,295,https://polymarket.com/event/bitcoin-up-or-down-june-22-2026-6pm-et,
bitcoin-up-or-down-june-22-2026-5pm-et,"Bitcoin Up or Down - June 22, 5PM ET",True,Down,2026-06-22T22:00:00Z,28044.138632000017,0.0005,0.525,0.0005,True,2026-06-22T21:30:04+00:00,False,295,0.475,0.9995,0.9995,False,,False,295,https://polymarket.com/event/bitcoin-up-or-down-june-22-2026-5pm-et,
bitcoin-up-or-down-june-22-2026-4pm-et,"Bitcoin Up or Down - June 22, 4PM ET",True,Down,2026-06-22T21:00:00Z,35814.99793799997,0.0005,0.615,0.0005,True,2026-06-22T20:30:05+00:00,False,295,0.385,0.9995,0.9995,False,,False,295,https://polymarket.com/event/bitcoin-up-or-down-june-22-2026-4pm-et,
bitcoin-up-or-down-june-22-2026-3pm-et,"Bitcoin Up or Down - June 22, 3PM ET",True,Up,2026-06-22T20:00:00Z,39886.10899999992,0.5,0.9995,0.9995,False,,False,295,0.0005,0.5,0.0005,True,2026-06-22T19:20:04+00:00,False,295,https://polymarket.com/event/bitcoin-up-or-down-june-22-2026-3pm-et,
bitcoin-up-or-down-june-22-2026-2pm-et,"Bitcoin Up or Down - June 22, 2PM ET",True,Down,2026-06-22T19:00:00Z,47730.83715099995,0.0005,0.635,0.0005,True,2026-06-22T18:40:05+00:00,False,295,0.365,0.9995,0.9995,False,,False,295,https://polymarket.com/event/bitcoin-up-or-down-june-22-2026-2pm-et,
bitcoin-up-or-down-june-22-2026-1pm-et,"Bitcoin Up or Down - June 22, 1PM ET",True,Down,2026-06-22T18:00:00Z,35840.83189499998,0.0005,0.525,0.0005,True,2026-06-22T17:30:05+00:00,False,295,0.475,0.9995,0.9995,False,,False,295,https://polymarket.com/event/bitcoin-up-or-down-june-22-2026-1pm-et,
bitcoin-up-or-down-june-22-2026-12pm-et,"Bitcoin Up or Down - June 22, 12PM ET",True,Down,2026-06-22T17:00:00Z,35650.63765599998,0.0005,0.525,0.0005,True,2026-06-22T16:10:04+00:00,False,295,0.475,0.9995,0.9995,False,,False,295,https://polymarket.com/event/bitcoin-up-or-down-june-22-2026-12pm-et,
bitcoin-up-or-down-june-22-2026-11am-et,"Bitcoin Up or Down - June 22, 11AM ET",True,Down,2026-06-22T16:00:00Z,68488.03827799988,0.0005,0.755,0.0005,True,2026-06-22T15:50:05+00:00,False,295,0.245,0.9995,0.9995,True,2026-06-22T15:40:04+00:00,True,295,https://polymarket.com/event/bitcoin-up-or-down-june-22-2026-11am-et,
bitcoin-up-or-down-june-22-2026-10am-et,"Bitcoin Up or Down - June 22, 10AM ET",True,Down,2026-06-22T15:00:00Z,68629.304693,0.0005,0.5,0.0005,True,2026-06-22T14:10:07+00:00,False,295,0.5,0.9995,0.9995,False,,False,295,https://polymarket.com/event/bitcoin-up-or-down-june-22-2026-10am-et,
bitcoin-up-or-down-june-22-2026-9am-et,"Bitcoin Up or Down - June 22, 9AM ET",True,Up,2026-06-22T14:00:00Z,89462.16744799989,0.255,0.9995,0.9995,True,2026-06-22T13:30:05+00:00,True,296,0.0005,0.745,0.0005,True,2026-06-22T13:50:04+00:00,False,296,https://polymarket.com/event/bitcoin-up-or-down-june-22-2026-9am-et,
