market_slug,timestamp_ms,timestamp_et,time_till_end,seconds_till_end,oracle_btc_price,binance_btc_price,lag,binance_ret1s_x100,binance_ret5s_x100,binance_volume_1s,binance_volume_5s,binance_atr_5s,binance_atr_30s,binance_rvol_30s,binance_volma_30s,binance_volume_spike,binance_vwap_30s,binance_p_vwap_5s,binance_p_vwap_30s,lat_dir_raw_x1000,lat_dir_norm_x1000,up_bid_1_price,up_bid_1_size,up_bid_2_price,up_bid_2_size,up_bid_3_price,up_bid_3_size,up_bid_4_price,up_bid_4_size,up_bid_5_price,up_bid_5_size,up_ask_1_price,up_ask_1_size,up_ask_2_price,up_ask_2_size,up_ask_3_price,up_ask_3_size,up_ask_4_price,up_ask_4_size,up_ask_5_price,up_ask_5_size,down_bid_1_price,down_bid_1_size,down_bid_2_price,down_bid_2_size,down_bid_3_price,down_bid_3_size,down_bid_4_price,down_bid_4_size,down_bid_5_price,down_bid_5_size,down_ask_1_price,down_ask_1_size,down_ask_2_price,down_ask_2_size,down_ask_3_price,down_ask_3_size,down_ask_4_price,down_ask_4_size,down_ask_5_price,down_ask_5_size,pm_up_bid_depth5,pm_up_ask_depth5,pm_up_total_depth5,pm_down_bid_depth5,pm_down_ask_depth5,pm_down_total_depth5,pm_up_spread,pm_down_spread,pm_up_imbalance,pm_down_imbalance,pm_up_microprice,pm_down_microprice,pm_up_bid_slope,pm_up_ask_slope,pm_down_bid_slope,pm_down_ask_slope,pm_up_bid_eatflow,pm_up_ask_eatflow,pm_down_bid_eatflow,pm_down_ask_eatflow
btc-updown-15m-1782166500,1782167126127,2026-06-22 18:25:26.127,4:34,274,,,,,,,,,,,,,,,,,,0.03,714.08,0.02,2425.17,0.01,7157.57,,,,,0.04,510.46,0.05,290.2,0.06,279.96,0.07,219.95,0.08,821.99,0.96,507.12,0.95,338.96,0.94,233.2,0.93,219.95,0.92,977.25,0.97,722.81,0.98,2725.17,0.99,7150.57,,,,,10296.82,2122.56,12419.38,2276.48,10598.55,12875.029999999999,0.010000000000000002,0.010000000000000009,0.6581858353637622,-0.6463728628205139,0.035831414245349275,0.9641231614807347,,0.3772143072516207,0.3716615125105426,,,,,
btc-updown-15m-1782166500,1782167129179,2026-06-22 18:25:29.179,4:31,271,,,,,,,,,,,,,,,,,,0.03,231.12,0.02,3090.8,0.01,7145.57,,,,,0.04,524.58,0.05,398.96,0.06,215.2,0.07,432.9,0.08,835.99,0.96,524.58,0.95,475.19,0.94,220.2,0.93,432.9,0.92,840.99,0.97,279.05,0.98,3092.8,0.99,7145.57,,,,,10467.49,2407.63,12875.119999999999,2493.86,10517.42,13011.28,0.010000000000000002,0.010000000000000009,0.6260027091009638,-0.6166618503329419,0.0330583564906709,0.966527630874905,,0.38358884047798036,0.400892592206459,,55.91947501573671,93.40226602646081,71.22385585586716,-26.581982820804317
btc-updown-15m-1782166500,1782167132233,2026-06-22 18:25:32.233,4:28,268,,,,,,,,,,,,,,,,,,0.03,1165.66,0.02,2628.8,0.01,6954.57,,,,,0.04,417.66,0.05,379.99,0.06,201.79,0.07,834.31,0.08,806.99,0.96,438.66,0.95,173.76,0.94,181.79,0.93,834.31,0.92,806.99,0.97,1141.33,0.98,2628.8,0.99,6954.57,,,,,10749.03,2640.74,13389.77,2435.5099999999998,10724.7,13160.210000000001,0.010000000000000002,0.010000000000000009,0.6055585719545594,-0.6298676084956091,0.03736212515473814,0.9627763466857384,,0.30205548444754127,0.25145452081904823,,92.19408546897272,76.33502615497667,-19.107132164638763,67.8753445601767
btc-updown-15m-1782166500,1782167135512,2026-06-22 18:25:35.512,4:25,265,,,,,,,,,,,,,,,,,,0.03,1051.77,0.02,2662.8,0.01,6950.57,,,,,0.04,438.66,0.05,273.16,0.06,181.79,0.07,827.31,0.08,806.99,0.96,78.66,0.95,498.16,0.94,181.79,0.93,377.31,0.92,806.99,0.97,1091.77,0.98,2237.8,0.99,6947.57,,,,,10665.14,2527.91,13193.05,1942.91,10277.14,12220.05,0.010000000000000002,0.010000000000000009,0.6167815630199234,-0.6820127577219406,0.03705682252772689,0.9606720606956415,,0.28158439184939343,0.2968845700521383,,-25.58480235811153,-34.41093396192252,-150.23592502405378,-136.49937191182653
btc-updown-15m-1782166500,1782167138600,2026-06-22 18:25:38.600,4:22,262,,,,,,,,,,,,,,,,,,0.03,1203.73,0.02,2787.88,0.01,6952.57,,,,,0.04,103.66,0.05,498.16,0.06,231.79,0.07,393.31,0.08,1240.99,0.96,103.66,0.95,629.39,0.94,226.79,0.93,393.31,0.92,1240.99,0.97,1203.73,0.98,2787.88,0.99,6947.57,,,,,10944.18,2467.91,13412.09,2594.14,10939.18,13533.32,0.010000000000000002,0.010000000000000009,0.6319872592563873,-0.616629178945004,0.039207122587751164,0.9607928774122486,,0.24385816338521263,0.28257919773026896,,90.37349384033634,-19.432373962228223,210.91625313503047,214.41732755787635
btc-updown-15m-1782166500,1782167141647,2026-06-22 18:25:41.647,4:19,259,,,,,,,,,,,,,,,,,,0.03,994.24,0.02,2941.88,0.01,6947.57,,,,,0.04,93.66,0.05,503.16,0.06,226.79,0.07,393.31,0.08,1245.99,0.96,93.66,0.95,503.16,0.94,226.79,0.93,393.31,0.92,1245.99,0.97,994.24,0.98,2941.88,0.99,6947.57,,,,,10883.69,2462.91,13346.6,2462.91,10883.69,13346.6,0.010000000000000002,0.010000000000000009,0.63093072392969,-0.63093072392969,0.03913907528265466,0.9608609247173453,,0.24232310559460155,0.24232310559460155,,-19.848583671700947,-1.6406499976608546,-43.06051668222056,-18.207940796284458
btc-updown-15m-1782166500,1782167144726,2026-06-22 18:25:44.726,4:16,256,,,,,,,,,,,,,,,,,,0.03,50.4,0.02,3823.88,0.01,6927.57,,,,,0.04,224.81,0.05,539.4,0.06,314.99,0.07,402.31,0.08,1291.49,0.96,351.04,0.95,539.4,0.94,314.99,0.93,402.31,0.92,1291.49,0.97,50.4,0.98,3823.88,0.99,6927.57,,,,,10801.85,2773.0,13574.85,2899.23,10801.85,13701.08,0.010000000000000002,0.010000000000000009,0.5914503659340619,-0.5767881072149057,0.03183132880345918,0.9687445197289758,,0.2755896141363145,0.30712982412571616,,-26.58622833316492,100.7346474075159,141.74142741894514,-26.586263338757075
btc-updown-15m-1782166500,1782167147763,2026-06-22 18:25:47.763,4:13,253,,,,,,,,,,,,,,,,,,0.03,96.08,0.02,4014.88,0.01,7227.57,,,,,0.04,256.86,0.05,562.9,0.06,332.22,0.07,397.31,0.08,1296.49,0.96,272.39,0.95,552.23,0.94,320.99,0.93,397.31,0.92,1291.49,0.97,96.08,0.98,4014.88,0.99,7233.57,,,,,11338.53,2845.78,14184.310000000001,2834.41,11344.53,14178.94,0.010000000000000002,0.010000000000000009,0.5987425542729959,-0.60019437278104,0.032722275740919134,0.9673924607159335,,0.28806162106698335,0.2909317988576106,,176.70260176201856,23.9629115231418,-21.342102797935258,178.6783762169621
btc-updown-15m-1782166500,1782167150858,2026-06-22 18:25:50.858,4:10,250,,,,,,,,,,,,,,,,,,0.03,110.04,0.02,4015.88,0.01,7179.57,,,,,0.04,469.63,0.05,345.16,0.06,471.25,0.07,692.05,0.08,846.49,0.96,516.39,0.95,339.15,0.94,471.25,0.93,692.05,0.92,841.49,0.97,110.04,0.98,4015.88,0.99,7179.57,,,,,11305.49,2824.58,14130.07,2860.33,11305.49,14165.82,0.010000000000000002,0.010000000000000009,0.6002029713936308,-0.5961645707767005,0.031898321458761016,0.9682433791485083,,0.28846412563991813,0.2991053479843235,,-10.67633204225421,-6.8504309714221,8.37557803053616,-12.615068144758414
btc-updown-15m-1782166500,1782167153938,2026-06-22 18:25:53.938,4:07,247,,,,,,,,,,,,,,,,,,0.02,4047.35,0.01,7203.57,,,,,,,0.03,31.0,0.04,466.99,0.05,382.06,0.06,448.48,0.07,676.05,0.97,15.0,0.96,464.99,0.95,436.6,0.94,531.15,0.93,681.05,0.98,4047.35,0.99,7203.57,,,,,,,11250.92,2004.58,13255.5,2128.79,11250.92,13379.71,0.009999999999999998,0.010000000000000009,0.6975474331409603,-0.6817883197767367,0.029923988868047126,0.9700369244402869,,0.24842610422133315,0.22547550486426562,,-17.716705936554572,-266.2213463070337,-237.50210914612282,-17.71672102154886
btc-updown-15m-1782166500,1782167157005,2026-06-22 18:25:57.005,4:03,243,,,,,,,,,,,,,,,,,,0.02,4008.35,0.01,7357.57,,,,,,,0.03,20.0,0.04,586.25,0.05,262.6,0.06,589.25,0.07,661.05,0.97,25.0,0.96,640.99,0.95,349.59,0.94,624.25,0.93,661.05,0.98,3915.35,0.99,7357.57,,,,,,,11365.92,2119.15,13485.07,2300.88,11272.92,13573.8,0.009999999999999998,0.010000000000000009,0.6857042640490558,-0.6609821862706097,0.029950351881043107,0.9700634461405713,,0.2860816836939339,0.2894501234310351,,37.49387934299248,37.35368483762308,56.10718007459842,7.172746595625337
btc-updown-15m-1782166500,1782167160140,2026-06-22 18:26:00.140,4:00,240,,,,,,,,,,,,,,,,,,0.02,3454.83,0.01,7218.35,,,,,,,0.03,5.0,0.04,575.54,0.05,267.6,0.06,585.25,0.07,676.05,0.97,16.0,0.96,656.95,0.95,349.59,0.94,575.66,0.93,676.05,0.98,3593.22,0.99,7684.35,,,,,,,10673.18,2109.44,12782.62,2274.25,11277.57,13551.82,0.009999999999999998,0.010000000000000009,0.6699518565051609,-0.6643624251207587,0.029985548422899386,0.9700443309080632,,0.27521048240291257,0.29589974716939654,,-220.93632820117566,-3.0968209527866506,-8.493122199436753,1.4830273461275874
btc-updown-15m-1782166500,1782167163226,2026-06-22 18:26:03.226,3:57,237,,,,,,,,,,,,,,,,,,0.02,3502.03,0.01,7686.35,,,,,,,0.03,76.0,0.04,538.78,0.05,274.6,0.06,570.66,0.07,676.05,0.97,74.0,0.96,618.89,0.95,295.6,0.94,554.66,0.93,661.05,0.98,3511.82,0.99,7686.35,,,,,,,11188.380000000001,2136.09,13324.470000000001,2204.2,11198.17,13402.369999999999,0.009999999999999998,0.010000000000000009,0.679373363443349,-0.671073101250003,0.029787592613812627,0.9702063684178235,,0.2878062253931248,0.3143498775065784,,166.95569738268324,8.63619824388299,-22.700388735403937,-25.730347831421266
btc-updown-15m-1782166500,1782167166235,2026-06-22 18:26:06.235,3:54,234,,,,,,,,,,,,,,,,,,0.03,56.36,0.02,2769.43,0.01,7559.35,,,,,0.04,772.04,0.05,387.59,0.06,1039.66,0.07,251.05,0.08,216.49,0.96,657.04,0.95,376.36,0.94,1033.66,0.93,256.05,0.92,211.49,0.97,56.36,0.98,2769.43,0.99,7559.35,,,,,10385.14,2666.83,13051.97,2534.6,10385.14,12919.74,0.010000000000000002,0.010000000000000009,0.591352110064611,-0.6076391630172123,0.030680347658136164,0.9692099803756659,,0.4348346163797467,0.4077171940345617,,-266.9761159703185,176.40419275694254,109.81684948500994,-270.231214094424
btc-updown-15m-1782166500,1782167169302,2026-06-22 18:26:09.302,3:51,231,,,,,,,,,,,,,,,,,,0.03,59.02,0.02,3064.43,0.01,7535.95,,,,,0.04,774.0,0.05,537.85,0.06,878.4,0.07,886.05,0.08,185.99,0.96,696.1,0.95,479.86,0.94,878.4,0.93,881.05,0.92,190.99,0.97,59.02,0.98,2751.43,0.99,7825.95,,,,,10659.4,3262.29,13921.689999999999,3126.4,10636.4,13762.8,0.010000000000000002,0.010000000000000009,0.5313370718641199,-0.5456738454384282,0.0307085063984058,0.9692184023731326,,0.40212550079851883,0.3761386898669396,,89.41799087498408,194.14000162771816,192.94587854461494,81.91886016072993
