timestamp_ms,market_slug,timeframe,time_till_end,seconds_till_end,up_best_bid,up_best_ask,down_best_bid,down_best_ask,up_spread,down_spread,up_bid_depth5,up_ask_depth5,down_bid_depth5,down_ask_depth5,up_imbalance,down_imbalance,up_microprice,down_microprice,arb_bid_sum_l1,arb_edge_l1
1782167435478,bitcoin-up-or-down-june-22-2026-6pm-et,1h,29:25,1765,0.07,0.08,0.92,0.93,0.009999999999999995,0.010000000000000009,2455.21,2707.46,2853.46,2435.21,-0.04886037651060401,0.07908415537365727,0.07381105312458183,0.927380667709004,0.99,0.010000000000000009
1782167438782,bitcoin-up-or-down-june-22-2026-6pm-et,1h,29:22,1762,0.07,0.08,0.92,0.93,0.009999999999999995,0.010000000000000009,2460.21,3090.96,2722.46,2460.21,-0.11362469533449705,0.05060133097418898,0.07285493588753283,0.9271450641124671,0.99,0.010000000000000009
1782167442072,bitcoin-up-or-down-june-22-2026-6pm-et,1h,29:18,1758,0.07,0.08,0.92,0.93,0.009999999999999995,0.010000000000000009,1287.93,2412.26,2117.26,1473.26,-0.30385736948643177,0.1793612067332866,0.07128443102612846,0.9284646346371986,0.99,0.010000000000000009
1782167445429,bitcoin-up-or-down-june-22-2026-6pm-et,1h,29:15,1755,0.07,0.08,0.92,0.93,0.009999999999999995,0.010000000000000009,1127.18,1755.6599999999999,2504.76,1872.18,-0.21800724285773743,0.14452562749318018,0.07162590775269874,0.9283252621544329,0.99,0.010000000000000009
1782167448749,bitcoin-up-or-down-june-22-2026-6pm-et,1h,29:12,1752,0.07,0.08,0.92,0.93,0.009999999999999995,0.010000000000000009,1857.1299999999999,2005.26,2015.26,1945.1299999999999,-0.03835190128392009,0.017707852004474334,0.07934572101544099,0.9206542789845591,0.99,0.010000000000000009
1782167452105,bitcoin-up-or-down-june-22-2026-6pm-et,1h,29:08,1748,0.06,0.08,0.93,0.94,0.020000000000000004,0.009999999999999898,2517.41,2579.4,2786.2599999999998,2512.69,-0.012162509491230837,0.051627209164079625,0.06596899224806202,0.9394444444444443,0.99,0.010000000000000009
1782167455657,bitcoin-up-or-down-june-22-2026-6pm-et,1h,29:05,1745,0.06,0.07,0.93,0.94,0.010000000000000009,0.009999999999999898,1898.74,2891.06,3030.06,1893.74,-0.20717357718485113,0.23078110402534627,0.06053805659773726,0.9396715956899154,0.99,0.010000000000000009
1782167459163,bitcoin-up-or-down-june-22-2026-6pm-et,1h,29:01,1741,0.06,0.07,0.93,0.94,0.010000000000000009,0.009999999999999898,3401.69,3422.2599999999998,3271.2599999999998,3441.47,-0.0030143831651755523,-0.02535630064072293,0.06072032083479343,0.9395202584385001,0.99,0.010000000000000009
1782167462531,bitcoin-up-or-down-june-22-2026-6pm-et,1h,28:58,1738,0.06,0.07,0.93,0.94,0.010000000000000009,0.009999999999999898,3421.69,3546.2599999999998,3591.26,3421.69,-0.017877568007807133,0.0241795535402363,0.06026248340178488,0.939570707070707,0.99,0.010000000000000009
1782167465878,bitcoin-up-or-down-june-22-2026-6pm-et,1h,28:55,1735,0.06,0.07,0.93,0.94,0.010000000000000009,0.009999999999999898,2413.55,1287.46,1324.46,2299.6,0.3042655923653273,-0.26907391157983035,0.06823383963263865,0.9314718003061345,0.99,0.010000000000000009
1782167469210,bitcoin-up-or-down-june-22-2026-6pm-et,1h,28:51,1731,0.06,0.07,0.93,0.94,0.010000000000000009,0.009999999999999898,2569.2200000000003,1709.86,1709.86,2569.2200000000003,0.20082821541078932,-0.20082821541078932,0.0646498228536664,0.9353501771463337,0.99,0.010000000000000009
